id,name,geom
1,"Florianópolis, Santa Catarina",POINT(-48.564151 -27.593550)
2,"São José, Santa Catarina",POINT(-48.6367 -27.6136)
3,"Palhoça, Santa Catarina",POINT(-48.6691 -27.6458)
4,"Biguaçu, Santa Catarina",POINT(-48.6590 -27.4956)
5,"Santo Amaro da Imperatriz, Santa Catarina",POINT(-48.7817 -27.6858)
6,"Chapecó, Santa Catarina",POINT(-52.6152 -27.0964)
7,"Joinville, Santa Catarina",POINT(-48.8451 -26.3045)
8,"Blumenau, Santa Catarina",POINT(-49.0661 -26.9155)
9,"Jaraguá do Sul, Santa Catarina",POINT(-49.0713 -26.4851)
10,"Balneário Camboriú, Santa Catarina",POINT(-48.6175 -26.9926)
11,"Curitiba, Paraná",POINT(-49.2775 -25.4284)
12,"São Paulo, São Paulo",POINT(-46.6333 -23.5505)
13,"Campinas, São Paulo",POINT(-47.0626 -22.9056)
14,"Rio de Janeiro, Rio de Janeiro",POINT(-43.1729 -22.9068)
15,"Rio Claro, São Paulo",POINT(-47.5560 -22.3988)
16,"Washington DC, USA",POINT(-77.0369 38.9072)
17,"Lisbon, Portugal",POINT(-9.1393 38.7223)
18,"Porto, Portugal",POINT(-8.6102 41.1496)
19,"Faro, Portugal",POINT(-7.9304 37.0194)
20,"Coimbra, Portugal",POINT(-8.4265 40.2033)
21,"Braga, Portugal",POINT(-8.4253 41.5331)
22,"Aveiro, Portugal",POINT(-8.6455 40.6443)
23,"Setúbal, Portugal",POINT(-8.8882 38.5244)
24,"Vila Real de Santo António, Portugal",POINT(-7.4208 37.1990)
25,"Elvas, Portugal",POINT(-7.1633 38.8815)
26,"Évora, Portugal",POINT(-7.9065 38.5714)
27,"Guarda, Portugal",POINT(-7.2637 40.5364)
28,"Fundão, Portugal",POINT(-7.5003 40.1410)
29,"Madrid, Spain",POINT(-3.7038 40.4168)
30,"Barcelona, Spain",POINT(2.1734 41.3851)
31,"Badajoz, Spain",POINT(-6.9707 38.8794)
32,"Salamanca, Spain",POINT(-5.6631 40.9701)
33,"Seville, Spain",POINT(-5.9845 37.3891)
34,"Málaga, Spain",POINT(-4.4203 36.7213)
35,"Granada, Spain",POINT(-3.5986 37.1773)
36,"Córdoba, Spain",POINT(-4.7794 37.8882)
37,"Cádiz, Spain",POINT(-6.2946 36.5297)
38,"Valencia, Spain",POINT(-0.3774 39.4699)
39,"Castellón de la Plana, Spain",POINT(-0.0576 39.9864)
40,"Gibraltar, UK",POINT(-5.3436 36.1408)
41,"Dublin, Ireland",POINT(-6.2603 53.3498)
42,"Cork, Ireland",POINT(-8.4761 51.8969)
43,"Belfast, Ireland",POINT(-5.9301 54.5973)
44,"Limerick, Ireland",POINT(-8.6291 52.6680)
45,"Galway, Ireland",POINT(-9.0488 53.2707)
46,"London, England",POINT(-0.1276 51.5074)
47,"Manchester, England",POINT(-2.2426 53.4808)
48,"Edinburgh, Scotland",POINT(-3.1883 55.9533)
49,"Münster, Germany",POINT(7.6261 51.9607)
50,"Dortmund, Germany",POINT(7.4686 51.5136)
51,"Bonn, Germany",POINT(7.0982 50.7374)
52,"Wuppertal, Germany",POINT(7.1864 51.2563)
53,"Essen, Germany",POINT(7.0123 51.4556)
54,"Duisburg, Germany",POINT(6.7735 51.4344)
55,"Köln, Germany",POINT(6.9603 50.9375)
56,"Aachen, Germany",POINT(6.0834 50.7753)
57,"Amsterdam, Netherlands",POINT(4.8952 52.3702)
58,"Enschede, Netherlands",POINT(6.8937 52.2215)
59,"Eindhoven, Netherlands",POINT(5.4697 51.4416)
60,"Moscow, Russia",POINT(37.6173 55.7558)
61,"Panama City, Panama",POINT(-79.5199 8.9824)
62,"Colón, Panama",POINT(-79.9068 9.3560)
63,"Berlin, Germany",POINT(13.4050 52.5200)
64,"Asunción, Paraguay",POINT(-57.5759 -25.2637)
65,"Ciudad del Este, Paraguay",POINT(-54.6111 -25.5097)
66,"Foz do Iguaçu, Brazil",POINT(-54.5881 -25.5163)
67,"Puerto Iguazú, Argentina",POINT(-54.5736 -25.5991)
